,DateTime,Open,Close,High,Low,Volume
825,2022-10-31 21:45:00,102.4,102.37,102.4,102.37,5
826,2022-10-31 21:46:00,102.37,102.37,102.37,102.37,0
827,2022-10-31 21:47:00,102.37,102.37,102.37,102.37,0
828,2022-10-31 21:48:00,102.36,102.36,102.36,102.36,12
829,2022-10-31 21:49:00,102.37,102.37,102.37,102.37,1
830,2022-10-31 21:50:00,102.35,102.35,102.35,102.33,10
831,2022-10-31 21:51:00,102.33,102.35,102.35,102.31,11
832,2022-10-31 21:52:00,102.31,102.44,102.44,102.31,654
833,2022-10-31 21:53:00,102.34,102.31,102.34,102.31,2
834,2022-10-31 21:54:00,102.31,102.31,102.31,102.31,0
835,2022-10-31 21:55:00,102.34,102.36,102.36,102.34,20
836,2022-10-31 21:56:00,102.36,102.36,102.36,102.36,1
837,2022-10-31 21:57:00,102.34,102.35,102.35,102.31,6
838,2022-10-31 21:58:00,102.35,102.35,102.35,102.35,0
839,2022-10-31 21:59:00,102.35,102.35,102.35,102.35,0
840,2022-10-31 22:00:00,102.31,102.36,102.36,102.31,5
841,2022-10-31 22:01:00,102.36,102.36,102.36,102.36,2
842,2022-10-31 22:02:00,102.37,102.37,102.37,102.37,3
843,2022-10-31 22:03:00,102.36,102.36,102.36,102.36,24
844,2022-10-31 22:04:00,102.34,102.36,102.36,102.34,4
845,2022-10-31 22:05:00,102.34,102.34,102.34,102.34,1
846,2022-10-31 22:06:00,102.3,102.29,102.3,102.29,9
847,2022-10-31 22:07:00,102.28,102.25,102.28,102.25,43
848,2022-10-31 22:08:00,102.25,102.26,102.26,102.25,16
849,2022-10-31 22:09:00,102.25,102.25,102.25,102.25,19
850,2022-10-31 22:10:00,102.26,102.25,102.27,102.25,8
851,2022-10-31 22:11:00,102.25,102.41,102.41,102.25,79
852,2022-10-31 22:12:00,102.41,102.4,102.41,102.4,16
853,2022-10-31 22:13:00,102.36,102.28,102.36,102.27,12
854,2022-10-31 22:14:00,102.3,102.3,102.3,102.3,5
855,2022-10-31 22:15:00,102.3,102.28,102.3,102.27,41
856,2022-10-31 22:16:00,102.3,102.3,102.3,102.3,2
857,2022-10-31 22:17:00,102.34,102.35,102.35,102.34,10
858,2022-10-31 22:18:00,102.35,102.35,102.35,102.35,0
859,2022-10-31 22:19:00,102.33,102.33,102.34,102.33,36
860,2022-10-31 22:20:00,102.33,102.33,102.33,102.33,67
861,2022-10-31 22:21:00,102.35,102.36,102.36,102.3,30
862,2022-10-31 22:22:00,102.36,102.32,102.36,102.32,6
863,2022-10-31 22:23:00,102.33,102.33,102.33,102.33,7
864,2022-10-31 22:24:00,102.33,102.33,102.33,102.29,12
